Conversion of atmospheric pressure from mmHg to hPa (millimeters of mercury to hectopascals)
hPA,mmHg
973,730, - reduced pressure
976,732
980,735
981,736
983,737
984,738
985,739
987,740
988,741
989,742
990,743
992,744
993,745
994,746
996,747
997,748
998,749
1000,750
1001,751
1002,752
1004,753
1005,754
1006,755
1008,756
1009,757
1010,758
1012,759
1013,760, - normal pressure
1014,761
1016,762
1017,763
1018,764
1020,765
1021,766
1022,767
1024,768
1025,769
1026,770
1028,771
1029,772
1030,773
1032,774
1033,775
1034,776
1036,777
1037,778
1038,779
1040,780, - increased pressure
